timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
2010-07-13T00:00:00.000Z;2010-07-13T23:59:59.999Z;2010-07-13T00:00:00.000Z;2010-07-13T00:00:00.000Z;0.06183332;0.06634905;0.05261677;0.05816341;75.42;194510.84;3344104.17;2010-07-13T23:59:59.999Z
2010-07-14T00:00:00.000Z;2010-07-14T23:59:59.999Z;2010-07-14T00:00:00.000Z;2010-07-14T00:00:00.000Z;0.05815725;0.06158806;0.04864654;0.05640216;261.54;190259.65;3373112.5;2010-07-14T23:59:59.999Z
2010-07-15T00:00:00.000Z;2010-07-15T23:59:59.999Z;2010-07-15T00:00:00.000Z;2010-07-15T00:00:00.000Z;0.05640261;0.06795437;0.05396921;0.05756808;445.8;195982.14;3404250;2010-07-15T23:59:59.999Z
2010-07-16T00:00:00.000Z;2010-07-16T23:59:59.999Z;2010-07-16T00:00:00.000Z;2010-07-16T00:00:00.000Z;0.05800138;0.07222029;0.05748353;0.0664917;497.25;228047.42;3429660.42;2010-07-16T23:59:59.999Z
2010-07-17T00:00:00.000Z;2010-07-17T23:59:59.999Z;2010-07-17T00:00:00.000Z;2010-07-17T00:00:00.000Z;0.0664999;0.07773513;0.05741781;0.06599255;19.99;226904.8;3438339.58;2010-07-17T23:59:59.999Z
2010-07-18T00:00:00.000Z;2010-07-18T23:59:59.999Z;2010-07-18T00:00:00.000Z;2010-07-18T00:00:00.000Z;0.06608795;0.0808581;0.06422061;0.0788138;75.13;271669.2;3446975;2010-07-18T23:59:59.999Z
2010-07-19T00:00:00.000Z;2010-07-19T23:59:59.999Z;2010-07-19T00:00:00.000Z;2010-07-19T00:00:00.000Z;0.07879913;0.08360209;0.06903579;0.07416855;573.24;256302.41;3455675;2010-07-19T23:59:59.999Z
2010-07-20T00:00:00.000Z;2010-07-20T23:59:59.999Z;2010-07-20T00:00:00.000Z;2010-07-20T00:00:00.000Z;0.07413588;0.07751477;0.06428795;0.07195755;262.35;249313.13;3464625;2010-07-20T23:59:59.999Z
2010-07-21T00:00:00.000Z;2010-07-21T23:59:59.999Z;2010-07-21T00:00:00.000Z;2010-07-21T00:00:00.000Z;0.07193466;0.07646131;0.06425164;0.07439057;572.81;258512.82;3475025;2010-07-21T23:59:59.999Z
2010-07-22T00:00:00.000Z;2010-07-22T23:59:59.999Z;2010-07-22T00:00:00.000Z;2010-07-22T00:00:00.000Z;0.07417871;0.07503002;0.05103308;0.05887483;2167.06;205112.55;3483875;2010-07-22T23:59:59.999Z
2010-07-23T00:00:00.000Z;2010-07-23T23:59:59.999Z;2010-07-23T00:00:00.000Z;2010-07-23T00:00:00.000Z;0.0588808;0.06889604;0.05570779;0.06263688;2398.46;218826.51;3493520.83;2010-07-23T23:59:59.999Z
